"id","exercise_name","exercise_id","raw_cue","spoken_cue","is_active","created_at","updated_at"
"d818b711-4103-4a18-a6c4-8cacb6eb4ab2","Squats","939b9a3f-1359-4c07-b735-2a3676f38942","Knees out!","Push your knees outward.",True,"2026-05-19 14:31:50.518448+05:30","2026-05-19 14:31:50.518448+05:30"
"c3198cd3-6328-4bae-b4da-332cd1c23b66","Squats","939b9a3f-1359-4c07-b735-2a3676f38942","Push knees out!","Push your knees outward.",True,"2026-05-19 14:31:50.519057+05:30","2026-05-19 14:31:50.519057+05:30"
"18a83e5b-a16a-43ac-abc5-a0790980a571","Squats","939b9a3f-1359-4c07-b735-2a3676f38942","Great depth! Now up","Perfect depth! Drive back up.",True,"2026-05-19 14:31:50.519673+05:30","2026-05-19 14:31:50.519673+05:30"
"715c48fd-bd47-4625-8939-5e820a0669ba","Squats","939b9a3f-1359-4c07-b735-2a3676f38942","Going down...","",True,"2026-05-19 14:31:50.520312+05:30","2026-05-19 14:31:50.520312+05:30"
"6815bbca-2efc-4467-afc6-871d4cce0f22","Squats","939b9a3f-1359-4c07-b735-2a3676f38942","Sitting back...","",True,"2026-05-19 14:31:50.520998+05:30","2026-05-19 14:31:50.520998+05:30"
"a2ae7483-f5ed-4fe7-9034-abc8e6fd7884","Squats","939b9a3f-1359-4c07-b735-2a3676f38942","Drive through heels","",True,"2026-05-19 14:31:50.521628+05:30","2026-05-19 14:31:50.521628+05:30"
"6ee27039-6844-4245-acd9-3251dcf163d9","Plie Squats","e01dde30-2d18-4d02-b152-6046f203f30b","Widen your stance","Widen your stance.",True,"2026-05-19 14:31:50.522454+05:30","2026-05-19 14:31:50.522454+05:30"
"2597938b-9a00-4713-a005-789ab381eed1","Plie Squats","e01dde30-2d18-4d02-b152-6046f203f30b","Turn toes outward","Turn your toes outward.",True,"2026-05-19 14:31:50.523333+05:30","2026-05-19 14:31:50.523333+05:30"
"2d2ad420-dd6f-4a55-b733-460650524d99","Plie Squats","e01dde30-2d18-4d02-b152-6046f203f30b","Toes out too far","Bring toes in slightly.",True,"2026-05-19 14:31:50.524815+05:30","2026-05-19 14:31:50.524815+05:30"
"5c14ac45-3111-46df-88bd-8cb933942e49","Plie Squats","e01dde30-2d18-4d02-b152-6046f203f30b","Ready! Go down","Ready! Now, squat down.",True,"2026-05-19 14:31:50.52642+05:30","2026-05-19 14:31:50.52642+05:30"
"f280bea4-9d2b-4b9c-99c1-5e8c2fcbeb87","Plie Squats","e01dde30-2d18-4d02-b152-6046f203f30b","Ready! Squat down","Ready! Now, squat down.",True,"2026-05-19 14:31:50.528225+05:30","2026-05-19 14:31:50.528225+05:30"
"b8c69f64-e2aa-4c0c-b85c-200096a2a56b","Plie Squats","e01dde30-2d18-4d02-b152-6046f203f30b","Push knees out","",True,"2026-05-19 14:31:50.531604+05:30","2026-05-19 14:31:50.531604+05:30"
"e1ad66ec-7933-415f-93d0-98fcdced273f","Plie Squats","e01dde30-2d18-4d02-b152-6046f203f30b","Push through heels","",True,"2026-05-19 14:31:50.532995+05:30","2026-05-19 14:31:50.532995+05:30"
"b1cec580-2d25-4c6a-8e5d-573e9972d3f3","Plie Squats","e01dde30-2d18-4d02-b152-6046f203f30b","Knees out!","Push your knees outward.",True,"2026-05-19 14:31:50.534068+05:30","2026-05-19 14:31:50.534068+05:30"
"4ed34854-7082-4c3d-92fd-eec64d4ed974","Plie Squats","e01dde30-2d18-4d02-b152-6046f203f30b","Push knees out!","Push your knees outward.",True,"2026-05-19 14:31:50.534736+05:30","2026-05-19 14:31:50.534736+05:30"
"8142da20-39dd-41e1-9352-096201c6a3fd","Plie Squats","e01dde30-2d18-4d02-b152-6046f203f30b","Great depth! Now up","Perfect depth! Drive back up.",True,"2026-05-19 14:31:50.535385+05:30","2026-05-19 14:31:50.535385+05:30"
"8d9572af-7e16-42f9-a2a2-e6629bb7630e","Plie Squats","e01dde30-2d18-4d02-b152-6046f203f30b","Going down...","",True,"2026-05-19 14:31:50.536+05:30","2026-05-19 14:31:50.536+05:30"
"3fa91ec7-a1c1-4cbe-86b8-07074127b347","Plie Squats","e01dde30-2d18-4d02-b152-6046f203f30b","Sitting back...","",True,"2026-05-19 14:31:50.536762+05:30","2026-05-19 14:31:50.536762+05:30"
"bce7ffae-9570-4053-adb6-79c762bd3d52","Plie Squats","e01dde30-2d18-4d02-b152-6046f203f30b","Drive through heels","",True,"2026-05-19 14:31:50.537561+05:30","2026-05-19 14:31:50.537561+05:30"
"b4a0a4aa-f696-4f93-a6c7-b43bd9619cc6","Standing Calf Raise","00c666f5-f15a-4b9e-833f-98fd4dcbf3dc","Searching for feet...","",True,"2026-05-19 14:31:50.539116+05:30","2026-05-19 14:31:50.539116+05:30"
"5cbe316d-e84d-40b7-8014-380f47625e75","Standing Calf Raise","00c666f5-f15a-4b9e-833f-98fd4dcbf3dc","Wiggle feet closer","Bring your feet slightly closer.",True,"2026-05-19 14:31:50.543037+05:30","2026-05-19 14:31:50.543037+05:30"
"fa790692-1863-4397-b716-362443004c82","Standing Calf Raise","00c666f5-f15a-4b9e-833f-98fd4dcbf3dc","Stand tall & squeeze","Stand tall and squeeze your calves.",True,"2026-05-19 14:31:50.544798+05:30","2026-05-19 14:31:50.544798+05:30"
"8eec5b14-0d94-4e16-b142-24d264fe8bbb","Standing Calf Raise","00c666f5-f15a-4b9e-833f-98fd4dcbf3dc","Ready! Rise up","Ready! Lift up.",True,"2026-05-19 14:31:50.545668+05:30","2026-05-19 14:31:50.545668+05:30"
"aaac8feb-23ec-4e5e-a3d1-c02420ad502f","Standing Calf Raise","00c666f5-f15a-4b9e-833f-98fd4dcbf3dc","Going up! Squeeze","Up and squeeze.",True,"2026-05-19 14:31:50.546425+05:30","2026-05-19 14:31:50.546425+05:30"
"7d606693-00df-495b-a83b-186180b14266","Standing Calf Raise","00c666f5-f15a-4b9e-833f-98fd4dcbf3dc","Squeeze calves at peak!","Hold and squeeze at the peak!",True,"2026-05-19 14:31:50.54708+05:30","2026-05-19 14:31:50.54708+05:30"
"3f6e49b7-fe64-4149-950a-8c427dc6fe74","Standing Calf Raise","00c666f5-f15a-4b9e-833f-98fd4dcbf3dc","Heels flat to floor","Bring your heels flat to the floor.",True,"2026-05-19 14:31:50.548519+05:30","2026-05-19 14:31:50.548519+05:30"
